"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2009","Michael Bourn","Astros","157","678","3","97","35","61","9.3 %","20.6 %",".099",".366",".285",".354",".384",".330","100","13.7","13.4","12.4","4.8","6387"
"2007","Aramis Ramirez","Cubs","132","558","26","72","101","0","7.7 %","11.8 %",".239",".313",".310",".366",".549",".386","127","-1.6","18.1","12.2","4.8","1002"
"2008","Brian Roberts","Orioles","155","704","9","107","57","40","11.6 %","14.8 %",".154",".341",".296",".378",".450",".364","119","5.8","22.3","1.2","4.7","166"
"2004","Ivan Rodriguez","Tigers","135","575","19","72","86","7","7.1 %","15.8 %",".176",".373",".334",".383",".510",".382","134","-3.2","22.0","7.1","4.7","1275"
"2007","Robinson Cano","Yankees","160","669","19","93","97","4","5.8 %","12.7 %",".182",".329",".306",".353",".488",".362","119","-0.7","15.6","9.9","4.7","3269"
"2000","Luis Gonzalez","Diamondbacks","162","722","31","106","114","2","10.8 %","11.8 %",".233",".313",".311",".392",".544",".397","131","-1.3","28.7","-2.4","4.7","55"
"2000","Ivan Rodriguez","Rangers","91","389","27","66","83","5","4.9 %","12.3 %",".320",".337",".347",".375",".667",".428","149","-1.3","24.4","12.2","4.7","1275"
"2004","Travis Hafner","Indians","140","576","28","96","109","3","11.8 %","19.3 %",".272",".350",".311",".410",".583",".418","158","1.0","43.5","-14.6","4.7","1573"
"2007","Prince Fielder","Brewers","158","681","50","109","119","2","13.2 %","17.8 %",".330",".283",".288",".395",".618",".419","153","-1.1","45.9","-20.0","4.7","4613"
"2001","Aramis Ramirez","Pirates","158","655","34","83","112","5","6.1 %","15.3 %",".235",".311",".300",".350",".536",".374","125","-0.8","20.5","6.3","4.7","1002"
"2009","Jayson Werth","Phillies","159","676","36","98","99","20","13.5 %","23.1 %",".238",".304",".268",".373",".506",".378","130","3.4","28.0","-2.5","4.7","1327"
"2005","Miguel Tejada","Orioles","162","704","26","89","98","5","5.7 %","11.8 %",".211",".316",".304",".349",".515",".367","126","-2.1","20.5","2.7","4.7","941"
"2004","Derek Jeter","Yankees","154","721","23","111","78","23","6.4 %","13.7 %",".179",".315",".292",".352",".471",".356","117","2.4","17.7","6.1","4.7","826"
"2005","Victor Martinez","Indians","147","622","20","73","80","0","10.1 %","12.5 %",".170",".322",".305",".378",".475",".367","128","-4.5","16.6","9.4","4.7","393"
"2008","Carlos Quentin","White Sox","130","569","36","96","100","7","11.6 %","14.1 %",".283",".278",".288",".394",".571",".415","152","0.4","36.8","-9.0","4.7","6274"
"2001","Edgar Martinez","Mariners","132","581","23","80","116","4","16.0 %","15.5 %",".236",".331",".306",".423",".543",".408","157","0.3","41.8","-13.8","4.7","1086"
"2000","Carl Everett","Red Sox","137","561","34","82","108","11","9.3 %","20.1 %",".286",".325",".300",".373",".587",".402","135","0.4","27.1","3.3","4.7","1249"
"2003","Bill Mueller","Red Sox","146","600","19","85","85","1","9.8 %","12.8 %",".214",".350",".326",".398",".540",".401","145","-2.0","31.9","-4.9","4.7","295"
"2006","David Wright","Mets","154","661","26","96","116","20","10.0 %","17.1 %",".220",".344",".311",".381",".531",".382","132","3.9","31.2","-4.7","4.7","3787"
"2006","Carl Crawford","Devil Rays","151","653","18","89","77","58","5.7 %","13.0 %",".177",".331",".305",".348",".482",".355","114","9.9","22.0","3.8","4.7","1201"
"2005","Felipe Lopez","Reds","148","648","23","97","85","15","8.8 %","17.1 %",".195",".322",".291",".352",".486",".360","116","3.9","17.4","8.0","4.7","1311"
"2002","Ichiro Suzuki","Mariners","157","728","8","111","51","31","9.3 %","8.5 %",".104",".344",".321",".388",".425",".347","118","6.3","22.1","-0.3","4.7","1101"
"2001","Mike Piazza","Mets","141","573","36","81","94","0","11.7 %","15.2 %",".272",".302",".300",".384",".573",".395","143","-0.9","31.2","-2.2","4.6","893"
"2006","Adrian Beltre","Mariners","156","681","25","88","89","11","6.9 %","17.3 %",".197",".294",".268",".328",".465",".339","106","-1.2","3.7","20.7","4.6","639"
"2009","Joey Votto","Reds","131","544","25","82","84","4","12.9 %","19.5 %",".245",".372",".322",".414",".567",".418","155","2.1","39.2","-10.4","4.6","4314"
"2009","Dustin Pedroia","Red Sox","154","714","15","115","72","20","10.4 %","6.3 %",".152",".297",".296",".371",".447",".359","112","0.6","11.1","10.7","4.6","8370"
"2000","Mark McGwire","Cardinals","89","321","32","60","73","1","23.7 %","24.3 %",".441",".313",".305",".483",".746",".494","195","0.3","41.9","-3.0","4.6","1008559"
"2006","Freddy Sanchez","Pirates","157","632","6","85","85","3","4.9 %","8.2 %",".129",".364",".344",".378",".473",".365","119","2.8","18.8","7.9","4.6","1624"
"2003","Magglio Ordonez","White Sox","160","674","29","95","99","9","8.5 %","10.8 %",".229",".321",".317",".380",".546",".396","141","-5.3","29.5","-6.1","4.6","248"
"2003","Brian Giles","- - -","134","609","20","93","88","4","17.2 %","9.5 %",".215",".304",".299",".427",".514",".404","146","1.9","38.0","-11.4","4.6","990"
"2009","Casey Blake","Dodgers","139","565","18","84","79","3","11.2 %","20.5 %",".188",".327",".280",".363",".468",".357","120","0.8","14.5","13.2","4.6","719"
"2002","Randy Winn","Devil Rays","152","674","14","87","75","27","8.2 %","16.2 %",".163",".342",".298",".360",".461",".356","119","5.0","20.5","2.5","4.6","1235"
"2003","Morgan Ensberg","Astros","127","441","25","69","60","7","10.9 %","13.6 %",".239",".289",".291",".377",".530",".390","134","1.5","20.8","11.2","4.6","556"
"2000","Phil Nevin","Padres","143","605","31","87","107","2","9.8 %","20.0 %",".240",".338",".303",".374",".543",".387","133","0.5","27.9","1.1","4.6","1049"
"2001","John Olerud","Mariners","159","679","21","91","95","3","13.8 %","10.3 %",".170",".311",".302",".401",".472",".372","132","0.1","27.6","-4.6","4.6","1093"
"2000","Scott Rolen","Phillies","128","541","26","88","89","8","9.4 %","18.3 %",".253",".328",".298",".370",".551",".387","126","1.2","20.5","9.9","4.6","970"
"2002","Ryan Klesko","Padres","146","625","29","90","95","6","12.2 %","13.8 %",".237",".310",".300",".388",".537",".393","147","3.8","40.3","-15.1","4.6","1041"
"2000","Travis Fryman","Indians","155","658","22","93","106","1","11.1 %","16.9 %",".195",".359",".321",".392",".516",".391","126","-0.2","23.4","2.2","4.6","385"
"2009","Jason Bay","Red Sox","151","638","36","103","119","13","14.7 %","25.4 %",".269",".315",".267",".384",".537",".395","135","1.6","29.8","-6.0","4.6","1717"
"2005","Julio Lugo","Devil Rays","158","690","6","89","57","39","8.8 %","10.4 %",".107",".325",".295",".362",".403",".339","109","5.9","13.4","8.8","4.6","565"
"2008","Ryan Braun","Brewers","151","663","37","92","106","14","6.3 %","19.5 %",".268",".305",".285",".335",".553",".376","129","4.2","28.2","-3.9","4.6","3410"
"2001","Gary Sheffield","Dodgers","143","618","36","98","100","10","15.2 %","10.8 %",".272",".297",".311",".417",".583",".418","159","0.2","48.1","-21.4","4.6","114"
"2004","Aubrey Huff","Devil Rays","157","667","29","92","104","5","8.4 %","11.1 %",".197",".297",".297",".360",".493",".364","120","1.5","18.8","5.0","4.5","1213"
"2007","Melvin Upton","Devil Rays","129","548","24","86","82","22","11.9 %","28.1 %",".209",".393",".300",".386",".508",".386","137","3.4","28.6","-1.1","4.5","5015"
"2004","Jason Kendall","Pirates","147","658","3","86","51","11","9.1 %","6.2 %",".071",".337",".319",".399",".390",".355","112","1.2","11.6","12.8","4.5","993"
"2007","Ryan Zimmerman","Nationals","162","722","24","99","91","4","8.4 %","17.3 %",".191",".295",".266",".330",".458",".340","105","-0.3","4.3","18.3","4.5","4220"
"2008","Aramis Ramirez","Cubs","149","645","27","97","111","2","11.5 %","14.6 %",".229",".303",".289",".380",".518",".386","129","1.9","25.1","-0.5","4.5","1002"
"2002","John Olerud","Mariners","154","668","22","85","102","0","14.7 %","9.9 %",".190",".302",".300",".403",".490",".386","144","-1.2","34.7","-12.0","4.5","1093"
"2000","Tim Salmon","Angels","158","680","34","108","97","0","15.3 %","20.4 %",".250",".330",".290",".404",".540",".406","138","-0.8","34.5","-10.1","4.5","32"
"2005","Rafael Furcal","Braves","154","689","12","100","58","46","9.0 %","11.3 %",".144",".307",".284",".348",".429",".338","105","7.5","11.7","11.0","4.5","88"
"2002","Mike Sweeney","Royals","126","545","24","81","86","9","11.2 %","8.4 %",".223",".333",".340",".417",".563",".415","151","0.7","35.1","-8.4","4.5","634"
"2002","Magglio Ordonez","White Sox","153","654","38","116","135","7","8.1 %","11.8 %",".276",".316",".320",".381",".597",".415","155","-1.7","42.3","-19.4","4.5","248"
"2009","Ian Kinsler","Rangers","144","640","31","101","86","31","9.2 %","12.0 %",".235",".241",".253",".327",".488",".351","105","6.5","10.9","12.2","4.5","6195"
"2009","Ryan Howard","Phillies","160","703","45","105","141","8","10.7 %","26.5 %",".292",".325",".279",".360",".571",".392","139","-0.2","33.9","-11.5","4.5","2154"
"2006","Mike Cameron","Padres","141","634","22","88","83","25","11.2 %","22.4 %",".214",".321",".268",".355",".482",".359","122","6.3","24.2","1.2","4.5","1070"
"2007","Mike Lowell","Red Sox","154","653","21","79","120","3","8.1 %","10.9 %",".177",".337",".324",".378",".501",".379","128","-5.7","17.0","6.5","4.5","527"
"2002","Miguel Tejada","Athletics","162","715","34","108","131","7","5.3 %","11.7 %",".199",".310",".308",".354",".508",".371","129","3.6","29.5","-8.8","4.5","941"
"2000","Johnny Damon","Royals","159","741","16","136","88","46","8.8 %","8.1 %",".168",".335",".327",".382",".495",".377","115","5.2","19.8","1.4","4.5","185"
"2000","Jose Valentin","White Sox","144","648","25","107","92","19","9.1 %","16.4 %",".218",".295",".273",".343",".491",".358","107","3.0","9.0","15.2","4.5","256"
"2002","Rafael Palmeiro","Rangers","155","663","43","99","105","2","15.7 %","14.2 %",".299",".255",".273",".391",".571",".402","143","-1.9","32.9","-10.7","4.5","1266"
"2002","David Eckstein","Angels","152","702","8","107","63","21","6.4 %","6.3 %",".095",".301",".293",".363",".388",".336","105","5.7","10.2","10.6","4.5","10"
"2003","Ivan Rodriguez","Marlins","144","578","16","90","85","10","9.5 %","15.9 %",".176",".333",".297",".369",".474",".363","122","-0.7","15.8","10.6","4.5","1275"
"2002","Jose Hernandez","Brewers","152","582","24","72","73","3","8.9 %","32.3 %",".190",".404",".288",".356",".478",".360","119","-4.1","9.4","16.3","4.5","688"
"2000","Geoff Jenkins","Brewers","135","564","34","100","94","11","5.9 %","23.9 %",".285",".349",".303",".360",".588",".396","132","1.8","26.3","2.2","4.5","690"
"2007","Brandon Phillips","Reds","158","702","30","107","94","32","4.7 %","15.5 %",".197",".304",".288",".331",".485",".350","104","-1.1","2.6","19.7","4.4","791"
"2004","Javy Lopez","Orioles","150","638","23","83","86","0","7.4 %","15.2 %",".187",".344",".316",".370",".503",".373","127","-3.6","18.7","5.1","4.4","103"
"2005","Mark Ellis","Athletics","122","486","13","76","52","1","9.1 %","10.5 %",".161",".335",".316",".384",".477",".376","135","-0.6","20.0","7.6","4.4","1443"
"2006","Reed Johnson","Blue Jays","134","517","12","86","49","8","6.4 %","15.7 %",".161",".366",".319",".390",".479",".377","126","0.4","17.9","9.8","4.4","1702"
"2000","Jim Thome","Indians","158","684","37","106","106","1","17.3 %","25.0 %",".262",".319",".269",".398",".531",".399","131","0.3","29.5","-7.1","4.4","409"
"2000","Ellis Burks","Giants","122","458","24","74","96","5","12.2 %","10.7 %",".262",".338",".344",".419",".606",".430","158","0.6","36.5","-4.6","4.4","372"
"2003","Mark Loretta","Padres","154","653","13","74","72","5","8.3 %","9.5 %",".127",".332",".314",".372",".441",".356","121","-1.7","15.5","7.7","4.4","1383"
"2007","Coco Crisp","Red Sox","145","591","6","85","60","28","8.5 %","14.2 %",".114",".306",".268",".330",".382",".316","85","8.4","-2.6","27.1","4.4","1572"
"2005","Derek Jeter","Yankees","159","752","19","122","70","14","10.2 %","15.6 %",".141",".351",".309",".389",".450",".369","129","0.2","26.4","-8.1","4.4","826"
"2007","Mark Ellis","Athletics","150","642","19","84","76","9","6.9 %","14.6 %",".165",".300",".276",".336",".441",".340","107","4.9","10.5","12.2","4.4","1443"
"2002","Pat Burrell","Phillies","157","684","37","96","116","1","13.0 %","22.4 %",".263",".318",".282",".376",".544",".390","140","-2.0","32.3","-10.8","4.4","949"
"2007","Mark Teixeira","- - -","132","575","30","86","105","0","12.5 %","19.5 %",".257",".342",".306",".400",".563",".407","146","2.5","36.0","-10.7","4.4","1281"
"2006","Hanley Ramirez","Marlins","158","700","17","119","59","51","8.0 %","18.3 %",".188",".343",".292",".353",".480",".358","116","10.0","24.5","-2.6","4.4","8001"
"2002","Junior Spivey","Diamondbacks","143","626","16","103","78","11","10.4 %","16.0 %",".175",".341",".301",".389",".476",".376","124","1.6","20.7","2.4","4.3","74"
"2004","Johnny Damon","Red Sox","150","702","20","123","94","19","10.8 %","10.1 %",".172",".317",".304",".380",".477",".372","123","6.9","27.6","-7.0","4.3","185"
"2002","Jose Vidro","Expos","152","681","19","103","96","2","8.8 %","10.3 %",".175",".330",".315",".378",".490",".377","127","3.8","26.9","-5.6","4.3","802"
"2006","Jimmy Rollins","Phillies","158","758","25","127","83","36","7.5 %","10.6 %",".200",".281",".277",".334",".478",".346","103","4.8","7.6","12.0","4.3","971"
"2002","Johnny Damon","Red Sox","154","702","14","118","63","31","9.3 %","10.0 %",".157",".301",".286",".356",".443",".348","110","6.3","15.2","4.4","4.3","185"
"2008","Mike Aviles","Royals","102","441","10","68","51","8","4.1 %","13.2 %",".155",".357",".325",".354",".480",".360","117","4.7","13.8","14.6","4.3","5986"
"2004","Jack Wilson","Pirates","157","693","11","82","59","8","3.8 %","10.2 %",".150",".330",".308",".335",".459",".341","103","3.3","6.2","14.9","4.3","1017"
"2001","Juan Gonzalez","Indians","140","595","35","97","140","1","6.9 %","15.8 %",".265",".329",".325",".370",".590",".397","145","0.2","34.1","-10.3","4.3","1251"
"2000","Jose Vidro","Expos","153","663","24","101","97","5","7.4 %","10.4 %",".210",".339",".330",".379",".540",".391","129","-0.8","25.4","-0.8","4.3","802"
"2003","Jim Thome","Phillies","159","698","47","111","131","0","15.9 %","26.1 %",".306",".302",".266",".385",".573",".401","145","-2.0","38.7","-17.7","4.3","409"
"2000","Bobby Higginson","Tigers","154","679","30","104","102","15","10.9 %","14.6 %",".238",".316",".300",".377",".538",".389","131","1.7","30.5","-8.5","4.3","469"
"2002","Carlos Delgado","Blue Jays","143","628","33","103","108","1","16.2 %","20.1 %",".271",".302",".277",".406",".549",".401","145","-3.5","31.1","-9.5","4.3","1297"
"2006","Jorge Posada","Yankees","143","545","23","65","93","3","11.7 %","17.8 %",".215",".303",".277",".374",".492",".373","125","-4.6","13.1","12.4","4.3","841"
"2008","Shane Victorino","Phillies","146","627","14","102","58","36","7.2 %","11.0 %",".154",".314",".293",".352",".447",".351","109","8.1","15.6","7.1","4.3","1677"
"2005","Jhonny Peralta","Indians","141","570","24","82","78","0","10.2 %","22.5 %",".228",".346",".292",".366",".520",".378","136","-1.8","23.0","0.3","4.3","1738"
"2006","Brian McCann","Braves","130","492","24","61","93","2","8.3 %","11.0 %",".240",".332",".333",".388",".572",".401","142","-7.0","19.9","7.7","4.3","4810"
"2001","Derek Jeter","Yankees","150","686","21","110","74","27","8.2 %","14.4 %",".169",".343",".311",".377",".480",".371","130","4.5","30.3","-10.2","4.2","826"
"2008","Josh Hamilton","Rangers","156","704","32","98","130","9","9.1 %","17.9 %",".226",".333",".304",".371",".530",".384","132","7.1","34.6","-16.1","4.2","1875"
"2004","Mark Teixeira","Rangers","145","625","38","101","112","4","10.9 %","18.7 %",".279",".293",".281",".370",".560",".388","129","-0.1","23.1","-0.9","4.2","1281"
"2001","Rafael Palmeiro","Rangers","160","714","47","98","123","1","14.1 %","12.6 %",".290",".249",".273",".381",".563",".396","139","-0.3","35.2","-16.5","4.2","1266"
"2008","Milton Bradley","Rangers","126","510","22","78","77","5","15.7 %","22.0 %",".242",".388",".321",".436",".563",".424","159","-3.4","33.6","-8.6","4.2","369"
"2008","Ichiro Suzuki","Mariners","162","749","6","103","42","43","6.8 %","8.7 %",".076",".334",".310",".361",".386",".328","102","10.3","11.9","4.9","4.2","1101"
"2007","Corey Hart","Brewers","140","566","24","86","81","23","6.4 %","17.5 %",".244",".321",".295",".353",".539",".378","127","4.6","24.4","0.3","4.2","1945"
"2001","Torii Hunter","Twins","148","603","27","82","92","9","4.8 %","20.7 %",".218",".291",".261",".306",".479",".334","101","-0.8","-0.4","22.2","4.2","731"
"2005","Melvin Mora","Orioles","149","664","27","86","88","7","7.5 %","16.9 %",".191",".309",".283",".348",".474",".357","120","-2.6","13.2","6.5","4.2","157"
"2002","Torii Hunter","Twins","148","604","29","89","94","23","5.8 %","19.5 %",".235",".319",".289",".334",".524",".366","122","0.2","16.8","5.0","4.2","731"
"2003","Jason Kendall","Pirates","150","666","6","84","58","8","7.4 %","6.0 %",".090",".340",".325",".399",".416",".363","119","-1.7","14.1","7.0","4.2","993"
"2003","Frank Thomas","White Sox","153","662","42","87","105","0","15.1 %","17.4 %",".295",".265",".267",".390",".562",".404","147","-3.6","35.0","-15.0","4.2","255"
"2006","Dan Uggla","Marlins","154","683","27","105","90","6","7.0 %","18.0 %",".198",".309",".282",".339",".480",".350","110","4.4","13.4","7.4","4.2","3442"
"2004","David Ortiz","Red Sox","150","669","41","94","139","0","11.2 %","19.9 %",".302",".322",".301",".380",".603",".408","147","-3.8","36.0","-15.5","4.2","745"
"2004","Jeff Kent","Astros","145","606","27","96","107","7","8.1 %","15.8 %",".243",".301",".289",".348",".531",".369","121","-1.9","14.3","8.6","4.2","1119"
"2008","Dan Uggla","Marlins","146","619","32","97","92","5","12.4 %","27.6 %",".254",".320",".260",".360",".514",".375","126","-1.2","19.1","3.1","4.2","3442"
"2006","Brandon Inge","Tigers","159","601","27","83","83","7","7.2 %","21.3 %",".210",".281",".253",".313",".463",".331","97","1.2","-1.4","24.0","4.2","470"
"2005","Jason Giambi","Yankees","139","545","32","74","87","0","19.8 %","20.0 %",".264",".292",".271",".440",".535",".422","165","-1.7","41.4","-18.0","4.2","818"
"2009","Marco Scutaro","Blue Jays","144","680","12","100","60","14","13.2 %","11.0 %",".127",".304",".282",".379",".409",".353","112","2.8","12.9","5.7","4.2","1555"
"2006","J.D. Drew","Dodgers","146","594","20","84","100","2","15.0 %","17.8 %",".215",".321",".283",".393",".498",".380","130","3.6","26.8","-3.2","4.2","1152"
"2000","Jermaine Dye","Royals","157","679","33","107","118","0","10.2 %","14.6 %",".240",".337",".321",".390",".561",".403","131","-0.4","28.3","-7.6","4.2","911"
"2003","Orlando Cabrera","Expos","162","691","17","95","80","24","7.5 %","9.3 %",".163",".305",".297",".347",".460",".348","106","6.4","11.4","8.4","4.2","766"
"2008","Mark DeRosa","Cubs","149","593","21","103","87","6","11.6 %","17.9 %",".196",".319",".285",".376",".481",".374","121","4.5","20.2","2.5","4.2","1392"
"2009","Mike Cameron","Brewers","149","628","24","78","70","7","11.9 %","24.8 %",".202",".304",".250",".342",".452",".346","110","0.0","7.9","13.7","4.2","1070"
"2001","Brian Jordan","Braves","148","605","25","82","97","3","5.1 %","14.5 %",".202",".308",".295",".334",".496",".351","112","-0.3","9.0","13.4","4.2","658"
"2007","Todd Helton","Rockies","154","682","17","86","91","0","17.0 %","10.9 %",".174",".340",".320",".434",".494",".401","133","-6.7","22.5","-2.2","4.2","432"
"2003","Juan Pierre","Marlins","162","747","1","100","41","65","7.4 %","4.7 %",".067",".320",".305",".361",".373",".328","100","6.5","6.1","11.8","4.2","443"
"2002","Steve Finley","Diamondbacks","150","577","25","82","89","16","11.3 %","12.7 %",".212",".293",".287",".370",".499",".373","122","4.8","20.9","2.1","4.2","54"
"2005","Nick Johnson","Nationals","131","547","15","66","74","3","14.6 %","15.9 %",".190",".329",".289",".408",".479",".385","138","-5.4","20.9","2.8","4.2","828"
"2008","Jacoby Ellsbury","Red Sox","145","609","9","98","47","50","6.7 %","13.1 %",".114",".312",".280",".336",".394",".323","91","9.2","2.1","18.8","4.2","4727"
"2006","David DeJesus","Royals","119","552","8","83","56","6","7.8 %","12.7 %",".151",".329",".295",".364",".446",".351","110","4.6","11.6","12.3","4.2","1825"
"2002","Adam Dunn","Reds","158","676","26","84","71","19","18.9 %","25.1 %",".206",".313",".249",".400",".454",".373","125","2.5","23.8","-4.4","4.1","319"
"2005","Michael Young","Rangers","159","732","24","114","91","5","7.9 %","12.4 %",".183",".354",".331",".385",".513",".389","136","0.8","33.2","-16.7","4.1","1286"
"2004","Jim Thome","Phillies","143","618","42","97","105","0","16.8 %","23.3 %",".307",".298",".274",".396",".581",".400","140","-3.0","28.7","-7.0","4.1","409"
"2003","Milton Bradley","Indians","101","451","10","61","56","17","14.2 %","16.2 %",".180",".371",".321",".421",".501",".397","146","-3.3","22.7","3.8","4.1","369"
"2004","Jorge Posada","Yankees","137","547","21","72","81","1","16.1 %","16.8 %",".209",".300",".272",".400",".481",".384","135","-7.8","16.3","7.5","4.1","841"
"2006","Ramon Hernandez","Orioles","144","560","23","66","91","1","7.7 %","14.1 %",".204",".285",".275",".343",".479",".352","110","-1.6","5.5","17.8","4.1","918"
"2003","Mike Lowell","Marlins","130","557","32","76","105","3","10.1 %","14.0 %",".254",".268",".276",".350",".530",".371","128","-0.1","19.7","3.9","4.1","527"
"2003","Derek Jeter","Yankees","119","542","10","87","52","11","7.9 %","16.2 %",".127",".379",".324",".393",".450",".372","129","1.9","21.4","1.6","4.1","826"
"2004","Hank Blalock","Rangers","159","713","32","107","110","2","10.5 %","20.9 %",".224",".310",".276",".355",".500",".363","112","0.1","11.0","6.8","4.1","1419"
"2003","Eric Chavez","Athletics","156","654","29","94","101","8","9.5 %","13.6 %",".231",".290",".282",".350",".514",".365","123","1.4","20.4","-1.3","4.1","906"
"2008","Brian Giles","Padres","147","653","12","81","63","2","13.3 %","8.0 %",".150",".318",".306",".398",".456",".377","136","-0.1","29.6","-9.8","4.1","990"
"2007","Kevin Youkilis","Red Sox","145","625","16","85","83","4","12.3 %","16.8 %",".165",".330",".288",".390",".453",".374","124","1.4","20.3","-0.1","4.1","1935"
"2002","Edgar Renteria","Cardinals","152","609","11","77","83","22","8.0 %","9.4 %",".134",".322",".305",".364",".439",".349","113","-2.5","7.6","13.3","4.1","1178"
"2008","Curtis Granderson","Tigers","141","629","22","112","66","12","11.3 %","17.6 %",".213",".316",".280",".365",".494",".373","127","7.7","28.4","-9.0","4.1","4747"
"2004","Jason Varitek","Red Sox","137","536","18","67","73","10","11.6 %","23.5 %",".186",".372",".296",".390",".482",".375","125","-1.6","15.5","8.0","4.1","217"
"2005","Todd Helton","Rockies","144","626","20","92","79","3","16.9 %","12.8 %",".214",".349",".320",".445",".534",".416","145","-4.6","30.9","-10.8","4.1","432"
"2009","Denard Span","Twins","145","676","8","97","68","23","10.4 %","13.2 %",".104",".353",".311",".392",".415",".359","118","7.5","22.6","-5.0","4.1","8347"
"2007","Nick Markakis","Orioles","161","710","23","97","112","18","8.6 %","15.8 %",".185",".331",".300",".362",".485",".366","121","-0.7","18.3","-1.3","4.1","5930"
"2003","Mark Kotsay","Padres","128","541","7","64","38","6","10.4 %","15.2 %",".118",".307",".266",".343",".384",".322","98","4.3","2.9","20.6","4.1","1042"
"2004","Mike Lowell","Marlins","158","671","27","87","85","5","9.5 %","11.5 %",".212",".298",".293",".365",".505",".370","127","-4.0","19.2","-0.2","4.0","527"
"2008","J.D. Drew","Red Sox","109","456","19","79","64","4","17.3 %","17.5 %",".239",".307",".280",".408",".519",".400","142","1.0","24.6","0.4","4.0","1152"
"2009","Scott Rolen","- - -","128","535","11","76","67","5","8.4 %","11.6 %",".149",".327",".305",".368",".455",".360","116","5.4","16.3","6.0","4.0","970"
"2009","Alex Rodriguez","Yankees","124","535","30","78","100","14","15.0 %","18.1 %",".245",".303",".286",".402",".532",".401","141","0.6","28.3","-6.3","4.0","1274"
"2008","J.J. Hardy","Brewers","146","629","24","78","74","2","8.3 %","15.6 %",".195",".305",".283",".343",".478",".356","115","-4.7","7.2","12.9","4.0","3797"
"2000","Damion Easley","Tigers","126","535","14","76","58","13","10.3 %","14.8 %",".157",".285",".259",".350",".416",".341","100","0.8","0.8","21.8","4.0","464"
"2001","Mike Sweeney","Royals","147","632","29","97","99","10","10.1 %","10.1 %",".238",".299",".304",".374",".542",".382","128","0.7","23.2","-4.1","4.0","634"
"2003","Rafael Furcal","Braves","156","734","15","130","61","25","8.2 %","10.4 %",".151",".310",".292",".352",".443",".346","107","11.1","17.7","-1.0","4.0","88"
"2003","Jeff DaVanon","Angels","123","382","12","56","43","17","11.0 %","15.4 %",".164",".307",".282",".360",".445",".352","116","4.2","11.7","16.0","4.0","1440"
"2001","Placido Polanco","Cardinals","144","610","3","87","38","12","4.1 %","7.0 %",".076",".328",".307",".342",".383",".320","92","1.1","-5.3","25.9","4.0","1176"
"2008","Mike Cameron","Brewers","120","508","25","69","70","17","10.6 %","28.0 %",".234",".296",".243",".331",".477",".351","112","2.3","9.8","13.9","4.0","1070"
"2004","Mark Kotsay","Athletics","148","673","15","78","63","8","8.2 %","10.4 %",".145",".333",".314",".370",".459",".358","116","-1.7","12.2","6.0","4.0","1042"
"2006","Curtis Granderson","Tigers","159","679","19","90","68","8","9.7 %","25.6 %",".178",".333",".260",".335",".438",".335","99","4.4","3.9","14.0","4.0","4747"
"2007","Chone Figgins","Angels","115","503","3","81","58","41","10.1 %","16.1 %",".102",".391",".330",".393",".432",".365","122","10.4","24.3","-0.7","4.0","1580"
"2007","Edgar Renteria","Braves","124","543","12","87","57","11","8.5 %","14.2 %",".138",".375",".332",".390",".470",".379","127","3.1","22.2","0.8","4.0","1178"
"2001","Ryan Klesko","Padres","146","638","30","105","113","23","13.8 %","13.9 %",".253",".290",".286",".384",".539",".388","141","2.8","36.7","-16.6","4.0","1041"
"2005","David DeJesus","Royals","122","523","9","69","56","5","8.0 %","14.5 %",".152",".330",".293",".359",".445",".350","112","4.9","12.6","9.5","4.0","1825"
"2005","Richie Sexson","Mariners","156","656","39","99","121","1","13.6 %","25.5 %",".278",".304",".263",".369",".541",".387","144","-0.9","34.1","-16.5","4.0","709"
"2004","Vernon Wells","Blue Jays","134","590","23","82","67","9","8.6 %","14.1 %",".200",".285",".272",".337",".472",".348","106","4.7","9.5","11.3","4.0","1326"
"2002","Adrian Beltre","Dodgers","159","635","21","70","75","7","5.8 %","15.1 %",".169",".273",".257",".303",".426",".313","94","-0.2","-5.0","24.1","4.0","639"
"2004","Juan Pierre","Marlins","162","748","3","100","49","45","6.0 %","4.7 %",".081",".340",".326",".374",".407",".345","110","6.9","16.9","-1.3","4.0","443"
"2009","Aaron Hill","Blue Jays","158","734","36","103","108","6","5.7 %","13.4 %",".213",".288",".286",".330",".499",".357","114","4.2","17.3","-2.8","4.0","6104"
"2004","Coco Crisp","Indians","139","538","15","78","71","20","6.7 %","12.8 %",".149",".320",".297",".344",".446",".341","107","0.3","5.0","17.3","4.0","1572"
"2007","Nick Swisher","Athletics","150","659","22","84","78","3","15.2 %","19.9 %",".193",".301",".262",".381",".455",".362","122","4.6","22.9","-5.2","4.0","4599"
"2001","Carlos Delgado","Blue Jays","162","704","39","102","102","3","15.8 %","19.3 %",".261",".301",".279",".408",".540",".397","143","0.5","38.6","-22.3","4.0","1297"
"2006","Joe Crede","White Sox","150","586","30","76","94","0","4.8 %","9.9 %",".222",".268",".283",".323",".506",".350","106","-2.7","1.5","19.0","3.9","227"
"2007","J.J. Hardy","Brewers","151","638","26","89","80","2","6.3 %","11.4 %",".186",".279",".277",".323",".463",".340","103","-2.3","-0.1","19.4","3.9","3797"
